atp_cost	c_content	length	n_content	prot_ID	s_content
18.802	4.247	16322	1.114	seq_13579_3	0.012
20.734	4.545	17817	1.198	seq_13579_1	0.012
21.229	4.615	15483	1.213	seq_13579_5	0.008
20.851	4.509	14916	1.189	seq_13579_7	0.015
21.194	4.61	16477	1.199	seq_13579_2	0.009
19.478	4.282	16067	1.146	seq_13579_4	0.008
20.315	4.473	15245	1.21	seq_13579_6	0.016
18.839	4.111	28178	1.165	seq_13579_0	0.003
21.485	4.663	12869	1.268	seq_13579_10	0.009
21.744	4.721	12228	1.255	seq_13579_13	0.011
22.57	4.9	12663	1.29	seq_13579_11	0.011
21.479	4.709	14511	1.407	seq_13579_8	0.013
20.87	4.579	12584	1.289	seq_13579_12	0.002
22.419	4.728	13404	1.305	seq_13579_9	0.014
20.97	4.593	12098	1.183	seq_13579_14	0.007
20.994	4.582	11732	1.216	seq_13579_15	0.013
18.318	4.056	11083	1.151	seq_13579_18	0.004
19.655	4.269	11286	1.239	seq_13579_17	0.007
20.763	4.516	11716	1.164	seq_13579_16	0.013
20.57	4.51	10858	1.216	seq_13579_19	0.007
20.363	4.519	10791	1.204	seq_13579_20	0.004
19.834	4.18	10429	1.171	seq_13579_22	0.006
21.448	4.667	10590	1.185	seq_13579_21	0.007
18.842	4.195	10022	1.157	seq_13579_26	0.004
19.78	4.384	10077	1.186	seq_13579_25	0.01
24.273	5.035	10211	1.339	seq_13579_24	0.021
22.635	4.786	9914	1.279	seq_13579_27	0.02
22.745	4.862	10229	1.268	seq_13579_23	0.015
19.646	4.461	9867	1.158	seq_13579_28	0.002
21.338	4.72	9800	1.235	seq_13579_30	0.001
19.427	4.369	9845	1.154	seq_13579_29	0.01
18.94	4.271	9611	1.236	seq_13579_31	0.005
20.888	4.599	9585	1.187	seq_13579_32	0.003
21.868	4.749	9583	1.3	seq_13579_33	0.018
20.987	4.599	9568	1.22	seq_13579_34	0.01
21.484	4.72	9557	1.24	seq_13579_35	0.012
