Protein ID	Reason for rejection
OM-RGC.v1.000003487 GeneID="1122176.PRJNA165399.KB903566_gene103281" eggNOG_OG="NOG12793" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Lewinella|Lewinella cohaerens"	non-standard aa
OM-RGC.v1.000000238 GeneID="1121859.PRJNA169722.KB890750_gene58622" eggNOG_OG="NOG12793" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Echinicola|Echinicola pacifica"	non-standard aa
OM-RGC.v1.000022819 GeneID="644076.SCH4B_2997" eggNOG_OG="COG2373" KEGG_ko="K06894" KEGG_module="" Taxonomy="Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Ruegeria|Silicibacter sp. TrichCH4B"	non-standard aa
OM-RGC.v1.000014020 GeneID="1122176.PRJNA165399.KB903536_gene100350" eggNOG_OG="NOG12793" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Lewinella|Lewinella cohaerens"	non-standard aa
OM-RGC.v1.000002882 GeneID="1122176.PRJNA165399.KB903577_gene103600" eggNOG_OG="NOG12793" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Lewinella|Lewinella cohaerens"	non-standard aa
OM-RGC.v1.000000218 GeneID="MMMS_PhageVirus_NCBI_NT_310005162_gene2687" eggNOG_OG="NOG73254" KEGG_ko="" KEGG_module="" Taxonomy="Viruses|undef|undef|Caudovirales|undef|undef|Prochlorococcus phage Syn33"	non-standard aa
OM-RGC.v1.000009258 GeneID="1122176.PRJNA165399.KB903536_gene100330" eggNOG_OG="NOG12793" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Lewinella|Lewinella cohaerens"	non-standard aa
OM-RGC.v1.000006357 GeneID="391625.PPSIR1_15405" eggNOG_OG="" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Nannocystaceae|Plesiocystis|Plesiocystis pacifica"	non-standard aa
OM-RGC.v1.000023982 GeneID="1122176.PRJNA165399.KB903554_gene102639" eggNOG_OG="NOG12793" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Lewinella|Lewinella cohaerens"	non-standard aa
OM-RGC.v1.000001302 GeneID="1122176.PRJNA165399.KB903576_gene103582" eggNOG_OG="NOG12793" KEGG_ko="" KEGG_module="" Taxonomy="Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Saprospiraceae|Lewinella|Lewinella cohaerens"	non-standard aa
